round,team_a_id_canon,team_a_name,team_b_id_canon,team_b_name,matchup_count,matchup_pct,team_a_wins,team_b_wins,team_a_win_pct_when_met,team_b_win_pct_when_met,simulation_count
Final4,michigan_st,Michigan St.,north_carolina,North Carolina,119,0.11900000000000001,62,57,52.10084033613446,47.89915966386555,100000
Final4,michigan_st,Michigan St.,saint_marys,Saint Mary's,119,0.11900000000000001,64,55,53.78151260504202,46.21848739495798,100000
Final4,iowa_st,Iowa St.,miami_fl,Miami (FL),115,0.11499999999999999,59,56,51.30434782608696,48.69565217391305,100000
Final4,iowa_st,Iowa St.,utah_st,Utah St.,113,0.11299999999999999,61,52,53.98230088495575,46.017699115044245,100000
Final4,arkansas,Arkansas,georgia,Georgia,112,0.11199999999999999,73,39,65.17857142857143,34.82142857142857,100000
Final4,iowa,Iowa,st_johns,St. John's,111,0.11100000000000002,29,82,26.126126126126124,73.87387387387388,100000
Final4,alabama,Alabama,utah_st,Utah St.,110,0.11,64,46,58.18181818181818,41.81818181818181,100000
Final4,ucla,UCLA,vcu,VCU,110,0.11,51,59,46.36363636363636,53.63636363636364,100000
Final4,saint_marys,Saint Mary's,ucla,UCLA,108,0.108,53,55,49.074074074074076,50.92592592592593,100000
Final4,alabama,Alabama,miami_fl,Miami (FL),106,0.106,70,36,66.0377358490566,33.9622641509434,100000
Final4,duke,Duke,penn,Penn,105,0.105,101,4,96.19047619047619,3.8095238095238098,100000
Final4,louisville,Louisville,saint_marys,Saint Mary's,104,0.104,53,51,50.96153846153846,49.03846153846153,100000
Final4,byu,BYU,texas_tech,Texas Tech,101,0.101,39,62,38.613861386138616,61.386138613861384,100000
Final4,hawaii,Hawaii,michigan,Michigan,101,0.101,8,93,7.920792079207921,92.07920792079209,100000
Final4,north_carolina,North Carolina,ucla,UCLA,100,0.1,46,54,46.0,54.0,100000
Final4,houston,Houston,northern_iowa,Northern Iowa,99,0.099,88,11,88.88888888888889,11.11111111111111,100000
Final4,nebraska,Nebraska,south_florida,South Florida,97,0.097,58,39,59.79381443298969,40.20618556701031,100000
Final4,kentucky,Kentucky,wisconsin,Wisconsin,96,0.096,42,54,43.75,56.25,100000
Final4,louisville,Louisville,vcu,VCU,96,0.096,49,47,51.041666666666664,48.95833333333333,100000
Final4,texas,Texas,virginia,Virginia,94,0.094,17,77,18.085106382978726,81.91489361702128,100000
Final4,illinois,Illinois,ohio_state,Ohio State,93,0.093,63,30,67.74193548387096,32.25806451612903,100000
Final4,south_florida,South Florida,vanderbilt,Vanderbilt,93,0.093,35,58,37.634408602150536,62.365591397849464,100000
Final4,missouri,Missouri,virginia,Virginia,91,0.091,18,73,19.78021978021978,80.21978021978022,100000
Final4,tennessee,Tennessee,wisconsin,Wisconsin,91,0.091,36,55,39.56043956043956,60.43956043956044,100000
Final4,texas_tech,Texas Tech,utah_st,Utah St.,89,0.089,40,49,44.9438202247191,55.0561797752809,100000
Final4,louisville,Louisville,north_carolina,North Carolina,88,0.08800000000000001,47,41,53.40909090909091,46.590909090909086,100000
