Team,ELO,Blended,Blended_EloScale
Tennessee-Martin,1242.05,-0.26735703739403643,1281.18266191275
Drake,1299.35,-0.26796230161054563,1281.048657569775
Western Carolina,1291.4,-0.2705980014019259,1280.465118663642
Oakland,1272.64,-0.31045246692966916,1271.641416019421
Bowling Green,1258.15,-0.3108692448946446,1271.5491421729923
Purdue Fort Wayne,1263.27,-0.3179772182793885,1269.9754504242883
Iona,1255.99,-0.31830611205380704,1269.9026339700072
Temple,1269.68,-0.3206437293329656,1269.3850899634783
Boston College,1303.72,-0.32712472643106855,1267.95020956866
Cal Poly,1277.57,-0.3429507121320972,1264.446366523008
Boston University,1252.09,-0.3564698918161632,1261.4532459292077
PVAMU,1239.68,-0.36190681901144833,1260.2495206192777
Bethune-Cookman,1249.8,-0.364354348202497,1259.707642325117
Portland,1259.05,-0.3819788590866002,1255.8056092346742
Stony Brook,1241.37,-0.3933787880875606,1253.2816866995777
Eastern Washington,1260.32,-0.4023423595837393,1251.2971690686124
FIU,1249.34,-0.4154103313622783,1248.403945044403
Utah,1281.91,-0.42695252972147707,1245.8485243447756
Central Connecticut,1224.14,-0.42796547271089674,1245.624260699138
UNC Asheville,1245.06,-0.4301463459183958,1245.1414195310806
Loyola-Marymount,1243.8,-0.434484518427907,1244.1809564126725
Ohio,1242.53,-0.43885712087796985,1243.2128705711025
Southern,1221.56,-0.46158450032043175,1238.1810721157183
Rice,1246.0,-0.476382137400942,1234.9049034930422
Colgate,1209.35,-0.47888735478682704,1234.3502531425866
Columbia,1223.51,-0.4796067648600567,1234.1909771246706
East Carolina,1256.25,-0.4905636542298774,1231.7651427187964
Georgia Tech,1255.94,-0.49163098238697917,1231.5288383007753
Sacred Heart,1232.86,-0.4968869763386433,1230.3651712658475
New Orleans,1224.16,-0.5021049216713994,1229.2099281225667
Loyola-Chicago,1265.63,-0.5077405758868084,1227.9622050294593
Richmond,1218.49,-0.5216266979642004,1224.8878440897306
Buffalo,1202.82,-0.5261062089142738,1223.8960889101895
Radford,1208.98,-0.5296334684816427,1223.1151603703304
South Dakota,1202.77,-0.5510144615642341,1218.381449286748
Florida A&M,1206.72,-0.5621507379935237,1215.9158989280938
Longwood,1189.67,-0.5961176836869301,1208.3956819445696
Denver,1196.25,-0.5981988857511291,1207.934907777513
Lindenwood,1170.85,-0.611442625910782,1205.0027689690085
UTEP,1213.69,-0.637097481217813,1199.322832941459
Alabama A&M,1158.33,-0.654548911481481,1195.4591195702242
Mercyhurst,1165.39,-0.6549774763991988,1195.364236114942
Milwaukee,1197.4,-0.668447751429292,1192.3819429182442
UMass-Lowell,1175.02,-0.6712936495423385,1191.7518665046541
Abilene Christian,1180.9,-0.6757849474451544,1190.7575017162599
Old Dominion,1194.13,-0.6797063419896902,1189.8893124442807
Louisiana,1199.96,-0.684369789595265,1188.8568340400764
Chattanooga,1185.36,-0.6851652969063093,1188.680710238866
Delaware,1197.97,-0.6912213477650486,1187.3399121308448
Hampton,1183.59,-0.691259396383956,1187.3314882391976
Charleston Southern,1167.16,-0.698355582815956,1185.7604060993472
Elon,1174.15,-0.699025157317536,1185.6121635819313
NJIT,1155.93,-0.7122843031082869,1182.6766139960882
American,1154.46,-0.7173455043693835,1181.556073691279
La Salle,1202.87,-0.7238228827891315,1180.1219944649458
West Georgia,1152.54,-0.7486921559025076,1174.6159848365494
Princeton,1192.27,-0.7603186197739085,1172.0419079132594
Dartmouth,1174.8,-0.7709955200232835,1169.678062564564
Wagner,1152.19,-0.774633306769018,1168.8726635182488
Bellarmine,1158.73,-0.7768522285954237,1168.3813984585443
San Diego,1165.78,-0.7773152234536937,1168.2788922801003
UC Riverside,1160.36,-0.8454484571271068,1153.19432431105
Tennessee Tech,1131.67,-0.8700196477282603,1147.754309582258
Texas Southern,1136.61,-0.8777473600429346,1146.0434088166385
