season,team_id_canon,Team,elo,efficiency_rating,ap_latest_rank,ap_preseason_rank,efficiency_source,ap_latest_inverted,ap_preseason_inverted,elo_norm,efficiency_rating_norm,ap_latest_inverted_norm,ap_preseason_inverted_norm,blended,blended_elo_scale
2026,yale,Yale,1478.39,24.0,26.0,26.0,torvik,-26.0,-26.0,0.6788354636056642,1.0518900832004834,-0.2422350783852396,-0.2582489133364143,0.5958323834986926,1472.2911531379737
2026,stanford,Stanford,1502.2,20.51605420099602,26.0,26.0,torvik,-26.0,-26.0,0.7959464471107239,0.4773618035562544,-0.2422350783852396,-0.2582489133364143,0.5916308300056002,1471.3609372091958
2026,nevada,Nevada,1483.64,22.8091050712657,26.0,26.0,torvik,-26.0,-26.0,0.7046579190194217,0.8555027528240008,-0.2422350783852396,-0.2582489133364143,0.5844500027318505,1469.7711157484368
2026,nc_state,NC State,1502.35,20.0,26.0,26.0,torvik,-26.0,-26.0,0.7966842315511163,0.3922606712750969,-0.2422350783852396,-0.2582489133364143,0.5793821092717012,1468.6490938035229
2026,stephen_f_austin,Stephen F. Austin,1443.76,28.0,26.0,26.0,torvik,-26.0,-26.0,0.5085056291335835,1.7115194951258699,-0.2422350783852396,-0.2582489133364143,0.5755459111570442,1467.7997668586038
2026,seton_hall,Seton Hall,1491.59,21.0,26.0,26.0,torvik,-26.0,-26.0,0.7437604943602535,0.5571680242564435,-0.2422350783852396,-0.2582489133364143,0.5670715961852992,1465.9235696888766
2026,bradley,Bradley,1471.97,21.454180074377057,26.0,26.0,torvik,-26.0,-26.0,0.6472582895568404,0.6320656580988351,-0.2422350783852396,-0.2582489133364143,0.5107546978992688,1453.4551158345687
2026,indiana,Indiana,1495.99,18.0,26.0,26.0,torvik,-26.0,-26.0,0.7654021712784506,0.062445965312403616,-0.2422350783852396,-0.2582489133364143,0.5080124611864313,1452.8479898572475
2026,smu,SMU,1474.94,20.70830075149056,26.0,26.0,torvik,-26.0,-26.0,0.6618664214766233,0.509064673318104,-0.2422350783852396,-0.2582489133364143,0.5025302425260072,1451.6342371033309
2026,california,California,1465.29,21.771577169590135,26.0,26.0,torvik,-26.0,-26.0,0.6144022891446688,0.6844067729143922,-0.2422350783852396,-0.2582489133364143,0.49560666483308224,1450.101370209055
2026,grand_canyon,Grand Canyon,1476.6,20.0,26.0,26.0,torvik,-26.0,-26.0,0.6700312359503059,0.3922606712750969,-0.2422350783852396,-0.2582489133364143,0.49072501235113397,1449.0205816614543
2026,hawaii,Hawaii,1447.03,24.10747939396187,26.0,26.0,torvik,-26.0,-26.0,0.5245893299341524,1.0696142255587748,-0.2422350783852396,-0.2582489133364143,0.49051871128237823,1448.9749069983575
2026,unlv,UNLV,1485.73,18.0,26.0,26.0,torvik,-26.0,-26.0,0.7149377155555646,0.062445965312403616,-0.2422350783852396,-0.2582489133364143,0.47268734218041114,1445.027075893068
2026,virginia_tech,Virginia Tech,1475.2,19.0,26.0,26.0,torvik,-26.0,-26.0,0.6631452478399713,0.22735331829375025,-0.2422350783852396,-0.2582489133364143,0.46116871772669776,1442.476874411147
2026,merrimack,Merrimack,1446.05,23.0,26.0,26.0,torvik,-26.0,-26.0,0.5197691382569176,0.8869827302191368,-0.2422350783852396,-0.2582489133364143,0.4597498528073682,1442.1627404245362
2026,wake_forest,Wake Forest,1482.19,17.852388670984226,26.0,26.0,torvik,-26.0,-26.0,0.6975260027622884,0.03810377177435366,-0.2422350783852396,-0.2582489133364143,0.45684781419441023,1441.5202346113554
2026,wright_st,Wright St.,1443.29,23.078861927345184,26.0,26.0,torvik,-26.0,-26.0,0.5061939045536852,0.8999876419086383,-0.2422350783852396,-0.2582489133364143,0.4521979259685307,1440.4907582279507
2026,uc_irvine,UC Irvine,1442.84,23.0,26.0,26.0,torvik,-26.0,-26.0,0.5039805512325057,0.8869827302191368,-0.2422350783852396,-0.2582489133364143,0.4486978418902799,1439.7158462895443
2026,west_virginia,West Virginia,1474.97,18.48394579900398,26.0,26.0,torvik,-26.0,-26.0,0.6620139783647019,0.14225218601259274,-0.2422350783852396,-0.2582489133364143,0.44761165925183555,1439.4753675253196
2026,charleston,Charleston,1456.4,21.0,26.0,26.0,torvik,-26.0,-26.0,0.5706762646440401,0.5571680242564435,-0.2422350783852396,-0.2582489133364143,0.44591263538394993,1439.09920688191
2026,navy,Navy,1409.85,26.147611329015778,26.0,26.0,torvik,-26.0,-26.0,0.3417171599753898,1.4060469827012272,-0.2422350783852396,-0.2582489133364143,0.41297310588261227,1431.8064578834817
2026,troy,Troy,1434.85,22.08166820347423,26.0,26.0,torvik,-26.0,-26.0,0.4646812333742348,0.7355430644954675,-0.2422350783852396,-0.2582489133364143,0.3984723695309398,1428.596022515823
2026,robert_morris,Robert Morris,1433.89,22.0,26.0,26.0,torvik,-26.0,-26.0,0.45995941295572007,0.7220753772377901,-0.2422350783852396,-0.2582489133364143,0.3931469421493279,1427.4169830519509
2026,george_mason,George Mason,1426.65,23.0,26.0,26.0,torvik,-26.0,-26.0,0.42434901729941454,0.8869827302191368,-0.2422350783852396,-0.2582489133364143,0.392955768137116,1427.3746574903175
2026,baylor,Baylor,1470.58,16.556049226990993,26.0,26.0,torvik,-26.0,-26.0,0.6404214870758641,-0.17567213449988103,-0.2422350783852396,-0.2582489133364143,0.38480826727277806,1425.5708163405623
2026,colorado,Colorado,1454.44,17.312753391014294,26.0,26.0,torvik,-26.0,-26.0,0.5610358812895705,-0.05088605382083577,-0.2422350783852396,-0.2582489133364143,0.3479562553242293,1417.4118511915021
2026,uab,UAB,1432.01,20.0,26.0,26.0,torvik,-26.0,-26.0,0.4507125146361264,0.3922606712750969,-0.2422350783852396,-0.2582489133364143,0.3372019074312083,1415.0308590822374
2026,siena,Siena,1409.88,23.01534010619998,26.0,26.0,torvik,-26.0,-26.0,0.3418647168634694,0.889512426527028,-0.2422350783852396,-0.2582489133364143,0.33559621227813813,1414.6753612382606
2026,winthrop,Winthrop,1408.42,23.0,26.0,26.0,torvik,-26.0,-26.0,0.3346836149769767,0.8869827302191368,-0.2422350783852396,-0.2582489133364143,0.3301899865114095,1413.4784331660492
2026,penn,Penn,1444.03,18.03596523580749,26.0,26.0,torvik,-26.0,-26.0,0.509833641126291,0.06837689714876645,-0.2422350783852396,-0.2582489133364143,0.33000412985537403,1413.4372848569303
2026,uc_san_diego,UC San Diego,1407.53,23.0,26.0,26.0,torvik,-26.0,-26.0,0.3303060939639773,0.8869827302191368,-0.2422350783852396,-0.2582489133364143,0.32712572180231,1412.800010804634
2026,northwestern,Northwestern,1464.22,15.0,26.0,26.0,torvik,-26.0,-26.0,0.6091394268031984,-0.43227609363163627,-0.2422350783852396,-0.2582489133364143,0.32442023121214875,1412.201020348779
2026,tennessee_st,Tennessee St.,1403.17,23.022749067576008,26.0,26.0,torvik,-26.0,-26.0,0.30886115956321925,0.8907342187358901,-0.2422350783852396,-0.2582489133364143,0.3126769909992923,1409.6010893662453
2026,washington,Washington,1453.36,16.0,26.0,26.0,torvik,-26.0,-26.0,0.5557238333187395,-0.26736874065028965,-0.2422350783852396,-0.2582489133364143,0.31176541872022956,1409.399269002513
2026,kennesaw_st,Kennesaw St.,1409.69,21.0635652068472,26.0,26.0,torvik,-26.0,-26.0,0.3409301899056379,0.5676503942593273,-0.2422350783852396,-0.2582489133364143,0.28666273856750096,1403.841583500835
2026,usc,USC,1425.07,18.0,26.0,26.0,torvik,-26.0,-26.0,0.4165776878606068,0.062445965312403616,-0.2422350783852396,-0.2582489133364143,0.2638353227939406,1398.787637192568
2026,minnesota,Minnesota,1435.46,15.443950773009009,26.0,26.0,torvik,-26.0,-26.0,0.46768155676516726,-0.35906534680069796,-0.2422350783852396,-0.2582489133364143,0.23638133421016772,1392.70937648945
2026,north_texas,North Texas,1407.34,19.0,26.0,26.0,torvik,-26.0,-26.0,0.3293715670061458,0.22735331829375025,-0.2422350783852396,-0.2582489133364143,0.22752714114301992,1390.7490750340298
2026,furman,Furman,1383.24,22.038720074647937,26.0,26.0,torvik,-26.0,-26.0,0.21083420024965968,0.7284606022552217,-0.2422350783852396,-0.2582489133364143,0.21971707700770032,1389.0199417324081
2026,georgetown,Georgetown,1422.6,16.0,26.0,26.0,torvik,-26.0,-26.0,0.40442883740880076,-0.26736874065028965,-0.2422350783852396,-0.2582489133364143,0.2058589215832724,1385.9517725562982
2026,creighton,Creighton,1413.7,15.614659564100332,26.0,23.0,torvik,-26.0,-23.0,0.3606536272788126,-0.33091421193118215,-0.2422350783852396,0.4542191498232115,0.20130785695812814,1384.9441755295875
2026,queens_nc,Queens (N.C.),1382.14,21.028476817969967,26.0,26.0,torvik,-26.0,-26.0,0.20542378102011094,0.5618640609292024,-0.2422350783852396,-0.2582489133364143,0.19094030234811338,1382.6488187153602
2026,umbc,UMBC,1359.51,24.0,26.0,26.0,torvik,-26.0,-26.0,0.09411670177947591,1.0518900832004834,-0.2422350783852396,-0.2582489133364143,0.186529250220361,1381.6722201884936
2026,rutgers,Rutgers,1428.56,14.385340435899668,26.0,26.0,torvik,-26.0,-26.0,0.43374347250708556,-0.5336379753320905,-0.2422350783852396,-0.2582489133364143,0.18643878094980165,1381.6521904645647
2026,central_arkansas,Central Arkansas,1373.34,22.0,26.0,26.0,torvik,-26.0,-26.0,0.1621404271837166,0.7220753772377901,-0.2422350783852396,-0.2582489133364143,0.1846736521089255,1381.2613943062324
2026,towson,Towson,1392.96,19.0,26.0,26.0,torvik,-26.0,-26.0,0.2586426319871307,0.22735331829375025,-0.2422350783852396,-0.2582489133364143,0.17801688662970938,1379.7875991271194
2026,davidson,Davidson,1384.21,20.0,26.0,26.0,torvik,-26.0,-26.0,0.215605206297535,0.3922606712750969,-0.2422350783852396,-0.2582489133364143,0.17262679159419436,1378.5942423680287
2026,monmouth,Monmouth,1389.62,19.0,26.0,26.0,torvik,-26.0,-26.0,0.24221463178104433,0.22735331829375025,-0.2422350783852396,-0.2582489133364143,0.1665172864854489,1377.2416095910219
2026,howard,Howard,1351.42,24.015690825470266,26.0,26.0,torvik,-26.0,-26.0,0.05432552762761008,1.0544776156948772,-0.2422350783852396,-0.2582489133364143,0.15906355818821394,1375.5913683642304
2026,louisiana_tech,Louisiana Tech,1375.68,20.0,26.0,26.0,torvik,-26.0,-26.0,0.17364986445384922,0.3922606712750969,-0.2422350783852396,-0.2582489133364143,0.14325805230361432,1372.0920595108698
2026,valparaiso,Valparaiso,1388.93,18.0,26.0,26.0,torvik,-26.0,-26.0,0.23882082335523708,0.062445965312403616,-0.2422350783852396,-0.2582489133364143,0.13940551764018183,1371.2391156852145
2026,long_island,Long Island,1341.81,24.011546237511823,26.0,26.0,torvik,-26.0,-26.0,0.0070581378130934345,1.053794142665452,-0.2422350783852396,-0.2582489133364143,0.1258738643636385,1368.2432334618334
2026,providence,Providence,1402.82,15.0,26.0,26.0,torvik,-26.0,-26.0,0.30713966253563474,-0.43227609363163627,-0.2422350783852396,-0.2582489133364143,0.1130203962248542,1365.3975001342933
2026,toledo,Toledo,1374.07,19.0,26.0,26.0,torvik,-26.0,-26.0,0.16573097812696297,0.22735331829375025,-0.2422350783852396,-0.2582489133364143,0.1129787289275919,1365.3882750741611
2026,duquesne,Duquesne,1379.83,18.0,26.0,26.0,torvik,-26.0,-26.0,0.1940619006380568,0.062445965312403616,-0.2422350783852396,-0.2582489133364143,0.10807427173815562,1364.302437607823
2026,xavier,Xavier,1401.09,15.0,26.0,26.0,torvik,-26.0,-26.0,0.29863054865643457,-0.43227609363163627,-0.2422350783852396,-0.2582489133364143,0.10706401650941405,1364.0787690272728
2026,george_washington,George Washington,1375.37,18.385041687352743,26.0,26.0,torvik,-26.0,-26.0,0.1721251099437027,0.1259421707612157,-0.2422350783852396,-0.2582489133364143,0.10224294906942955,1363.0113938923948
2026,butler,Butler,1388.31,16.0,26.0,26.0,torvik,-26.0,-26.0,0.23577131433494514,-0.26736874065028965,-0.2422350783852396,-0.2582489133364143,0.08779865543157345,1359.813454833909
2026,georgia_southern,Georgia Southern,1352.29,21.0,26.0,26.0,torvik,-26.0,-26.0,0.05860467738188935,0.5571680242564435,-0.2422350783852396,-0.2582489133364143,0.08746252430044439,1359.7390360426575
2026,marquette,Marquette,1410.6,12.0,26.0,26.0,torvik,-26.0,-26.0,0.34540608217735513,-0.9269981525756762,-0.2422350783852396,-0.2582489133364143,0.06559858113245248,1354.8984007314095
2026,san_francisco,San Francisco,1373.35,17.0,26.0,26.0,torvik,-26.0,-26.0,0.16218961281307612,-0.10246138766894301,-0.2422350783852396,-0.2582489133364143,0.06102756731346713,1353.886386991236
2026,wyoming,Wyoming,1365.84,18.0,26.0,26.0,torvik,-26.0,-26.0,0.1252512051640631,0.062445965312403616,-0.2422350783852396,-0.2582489133364143,0.05990678490636002,1353.6382479042293
2026,austin_peay,Austin Peay,1335.14,22.0,26.0,26.0,torvik,-26.0,-26.0,-0.02574867696971765,0.7220753772377901,-0.2422350783852396,-0.2582489133364143,0.05315127920152149,1352.1425918275136
2026,oregon,Oregon,1406.09,12.0,26.0,26.0,torvik,-26.0,-26.0,0.32322336333620355,-0.9269981525756762,-0.2422350783852396,-0.2582489133364143,0.05007067794364636,1351.4605525853617
2026,pittsburgh,Pittsburgh,1398.81,13.0,26.0,26.0,torvik,-26.0,-26.0,0.28741622516246,-0.7620907995943296,-0.2422350783852396,-0.2582489133364143,0.04974178416922789,1351.3877361310806
2026,harvard,Harvard,1369.27,17.0,26.0,26.0,torvik,-26.0,-26.0,0.14212187603438495,-0.10246138766894301,-0.2422350783852396,-0.2582489133364143,0.046980151568383324,1350.776315941153
2026,depaul,DePaul,1373.53,16.0,26.0,26.0,torvik,-26.0,-26.0,0.1630749541415481,-0.26736874065028965,-0.2422350783852396,-0.2582489133364143,0.036911203296195544,1348.5470700005196
2026,vermont,Vermont,1330.02,22.0,26.0,26.0,torvik,-26.0,-26.0,-0.05093171920180169,0.7220753772377901,-0.2422350783852396,-0.2582489133364143,0.03552314963906267,1348.2397575685857
2026,fairfield,Fairfield,1335.46,21.0,26.0,26.0,torvik,-26.0,-26.0,-0.024174736830212748,0.5571680242564435,-0.2422350783852396,-0.2582489133364143,0.029516934351972918,1346.9099929610647
2026,southern_miss,Southern Miss,1347.58,19.0,26.0,26.0,torvik,-26.0,-26.0,0.03543824595354677,0.22735331829375025,-0.2422350783852396,-0.2582489133364143,0.02177381640620059,1345.195681418107
2026,coastal_carolina,Coastal Carolina,1345.04,19.0,26.0,26.0,torvik,-26.0,-26.0,0.022945096096224298,0.22735331829375025,-0.2422350783852396,-0.2582489133364143,0.01302861150607486,1343.259509734967
2026,south_alabama,South Alabama,1326.95,21.0,26.0,26.0,torvik,-26.0,-26.0,-0.06603170741517954,0.5571680242564435,-0.2422350783852396,-0.2582489133364143,0.00021705494249617437,1340.4230555502297
2026,james_madison,James Madison,1346.71,18.0,26.0,26.0,torvik,-26.0,-26.0,0.031159096199267503,0.062445965312403616,-0.2422350783852396,-0.2582489133364143,-0.005957691368996888,1339.055978495384
2026,idaho,Idaho,1324.6,21.03812483269167,26.0,26.0,torvik,-26.0,-26.0,-0.07759033031467163,0.5634550894984832,-0.2422350783852396,-0.2582489133364143,-0.006930921300842342,1338.8405072449395
2026,southern_illinois,Southern Illinois,1360.41,16.0,26.0,26.0,torvik,-26.0,-26.0,0.09854340842183479,-0.26736874065028965,-0.2422350783852396,-0.2582489133364143,-0.008260878707603772,1338.5460572120173
2026,syracuse,Syracuse,1364.54,15.0,26.0,26.0,torvik,-26.0,-26.0,0.1188570733473234,-0.43227609363163627,-0.2422350783852396,-0.2582489133364143,-0.018777416206963757,1336.2177158702784
2026,samford,Samford,1341.74,18.0,26.0,26.0,torvik,-26.0,-26.0,0.0067138384075769815,0.062445965312403616,-0.2422350783852396,-0.2582489133364143,-0.02306937182318025,1335.2674850838857
2026,tulane,Tulane,1340.98,18.0,26.0,26.0,torvik,-26.0,-26.0,0.0029757305762521382,0.062445965312403616,-0.2422350783852396,-0.2582489133364143,-0.025686047305107644,1334.6881581235762
2026,maryland,Maryland,1381.92,12.0,26.0,26.0,torvik,-26.0,-26.0,0.20434169717420098,-0.9269981525756762,-0.2422350783852396,-0.2582489133364143,-0.03314648836975542,1333.0364307028844
2026,william_and_mary,William & Mary,1324.18,20.0,26.0,26.0,torvik,-26.0,-26.0,-0.07965612674777148,0.3922606712750969,-0.2422350783852396,-0.2582489133364143,-0.03405614153752018,1332.8350352267328
2026,cornell,Cornell,1357.09,15.0,26.0,26.0,torvik,-26.0,-26.0,0.08221377947446737,-0.43227609363163627,-0.2422350783852396,-0.2582489133364143,-0.04442772191796297,1330.538787114612
2026,charlotte,Charlotte,1339.26,17.0,26.0,26.0,torvik,-26.0,-26.0,-0.005484197673588532,-0.10246138766894301,-0.2422350783852396,-0.2582489133364143,-0.056344100027198106,1327.900523732086
